272;Óleo, de soja;15,2;23,3;60,0;;0,08;10,83;3,36;0,33;0,43;0,14;272;;0,09;22,98;0,60;53,85;5,72;;;;;;0,50
273;Abadejo, filé, congelado, assado;0,6;0,3;0,1;;0,01;0,44;0,11;;;;273;;0,02;0,29;0,02;0,02;Tr;Tr;0,06;Tr;0,07;Tr;NA
274;Abadejo, filé, congelado,cozido;0,4;0,3;0,2;;Tr;0,29;0,08;;;;274;;0,01;0,22;0,02;0,03;;Tr;0,06;Tr;0,08;;NA
275;Abadejo, filé, congelado, cru;0,1;Tr;0,1;Tr;Tr;0,06;0,02;;;;275;;Tr;0,04;Tr;Tr;;0,01;0,01;Tr;0,08;;NA
276;Abadejo, filé, congelado, grelhado;0,6;0,3;0,6;;0,01;0,42;0,11;;;;276;;0,01;0,27;0,02;0,02;0,02;Tr;0,10;;0,42;;NA
277;Atum, conserva em óleo;1,0;1,3;3,2;;0,02;0,70;0,26;0,02;0,02;;277;;0,02;1,27;0,02;2,68;0,29;0,03;0,03;;0,19;;0,04
278;Atum, fresco, cru;0,5;0,2;Tr;;0,01;0,27;0,17;Tr;Tr;Tr;278;;0,02;0,18;Tr;0,01;0,01;Tr;Tr;;0,01;Tr;NA
279;Bacalhau, salgado, cru;0,6;0,3;0,2;Tr;0,03;0,43;0,14;;Tr;Tr;279;;0,03;0,28;Tr;0,02;0,08;0,03;0,02;;0,06;Tr;NA
280;Bacalhau, salgado, refogado;0,9;1,1;1,2;;0,02;0,65;0,23;0,02;0,02;Tr;280;;0,02;1,01;0,03;1,08;0,07;Tr;0,04;;0,04;0,03;0,01
281;Cação, posta, com farinha de trigo, frita;1,5;2,2;5,2;;0,01;1,03;0,37;0,03;0,04;0,02;281;;0,01;2,17;0,03;4,62;0,47;0,02;0,01;0,02;0,07;;NA
282;Cação, posta, cozida;0,2;0,1;0,2;;;0,07;0,12;;;;282;;Tr;0,08;0,01;Tr;;0,03;0,01;0,01;0,12;;NA
283;Cação, posta, crua;0,1;0,1;0,2;Tr;Tr;0,07;0,07;;;;283;;Tr;0,06;0,01;Tr;;0,02;0,02;0,02;0,10;;NA
284;Camarão, Rio Grande, grande, cozido;0,4;0,2;0,2;;0,01;0,23;0,14;0,01;0,01;Tr;284;;0,05;0,16;0,01;0,03;Tr;0,04;0,08;0,01;0,09;0,01;NA
285;Camarão, Rio Grande, grande, cru;0,1;0,1;0,2;;Tr;0,08;0,04;Tr;;;285;;0,02;0,06;Tr;0,02;Tr;0,02;0,08;0,01;;Tr;NA
286;Camarão, Sete Barbas, sem cabeça, com casca, frito;2,5;3,6;8,8;;;1,69;0,59;0,05;0,08;0,03;286;;0,05;3,54;;7,76;0,82;0,05;0,08;;0,10;;NA
287;Caranguejo, cozido;0,2;0,2;Tr;;;0,10;0,09;0,01;0,01;;287;;0,01;0,14;;0,03;Tr;;;;;;NA
288;Corimba, cru;2,5;2,3;0,3;;0,30;1,57;0,31;0,01;0,02;;288;;1,21;1,02;0,01;0,09;0,12;0,03;0,04;0,01;0,03;0,04;NA
